ax,ay,az,mx,my,mz
-0.0580032,0.0832427,-0.980123,-0.00322,0.13888,-0.16856
-0.0815537,0.0878897,-0.991735,-0.00616,0.1365,-0.16968
-0.0837558,0.0790694,-0.989591,-0.0028,0.13566,-0.16436
-0.0858968,0.0871533,-0.986282,0.00406,0.13818,-0.16212
-0.0851016,0.0844587,-0.988608,0.0035,0.13552,-0.1638
-0.102841,0.0835342,-0.987703,0.00266,0.13174,-0.1673
-0.124067,0.0929593,-0.996387,0.0028,0.12754,-0.16856
-0.129817,0.104411,-1.0097,0.0077,0.13286,-0.16408
-0.12003,0.0962068,-1.00661,0.00392,0.13342,-0.1631
-0.111833,0.0847562,-0.996116,0.00574,0.12726,-0.16632
-0.0973356,0.0705516,-0.986498,0.00322,0.12894,-0.16338
-0.0756202,0.0742948,-0.984784,0.0049,0.13048,-0.16422
-0.0602054,0.0697063,-0.984643,0.00798,0.12572,-0.16632
-0.0608782,0.0738709,-0.987086,0.00826,0.12936,-0.16856
-0.0758037,0.0946288,-0.991627,0.0098,0.1302,-0.16968
-0.0931149,0.105586,-0.993962,0.01008,0.13034,-0.1708
-0.0998436,0.108279,-0.995472,0.0126,0.12768,-0.17304
-0.0937266,0.102034,-0.997813,0.01232,0.1295,-0.17066
-0.0840005,0.0866027,-0.998148,0.00714,0.12642,-0.1638
-0.0833276,0.079192,-0.991609,0.01344,0.13314,-0.17402
-0.0792904,0.0787646,-0.992171,0.01162,0.12978,-0.16576
-0.0853463,0.0809063,-0.993988,0.01358,0.13482,-0.16758
-0.0958063,0.102033,-0.996157,0.01456,0.1323,-0.1708
-0.0989872,0.102645,-0.996087,0.01274,0.12768,-0.16562
-0.0864473,0.102771,-0.98854,0.01694,0.13216,-0.168
-0.0655883,0.0923048,-0.979856,0.01932,0.13076,-0.16786
-0.0544554,0.0832438,-0.975058,0.02142,0.13286,-0.17206
-0.0573304,0.0954923,-0.986787,0.02394,0.13342,-0.17066
-0.0833276,0.108897,-0.998391,0.02268,0.1302,-0.17276
-0.106022,0.105092,-0.994967,0.01848,0.12852,-0.16982
-0.12107,0.0944302,-0.997067,0.02464,0.12726,-0.168
-0.133304,0.099816,-0.989574,0.02534,0.12782,-0.16618
-0.124128,0.0880595,-0.994798,0.02856,0.12586,-0.16268
-0.133976,0.0957122,-0.999477,0.0252,0.12684,-0.16282
-0.123027,0.0880599,-1.00036,0.02632,0.12558,-0.17108
-0.118745,0.0728107,-0.994937,0.03206,0.12348,-0.17318
-0.119785,0.0877547,-1.00771,0.02898,0.12404,-0.16898
-0.118378,0.0878164,-1.00343,0.035,0.12138,-0.16758
-0.119296,0.0773428,-0.990655,0.03556,0.12124,-0.16954
-0.107551,0.0785104,-0.993377,0.0322,0.12138,-0.16912
-0.0933595,0.0922344,-1.00644,0.03836,0.12264,-0.16814
-0.0791069,0.0505909,-1.00746,0.04046,0.12138,-0.16856
-0.12058,0.0444526,-1.03223,0.03864,0.11998,-0.16632
-0.126086,0.0623963,-1.0209,0.03598,0.12096,-0.1694
-0.134955,0.0945482,-1.03469,0.04046,0.11774,-0.17136
-0.122844,0.0903873,-1.02928,0.04522,0.11816,-0.16828
-0.0969074,0.0559749,-1.02441,0.03962,0.11424,-0.16954
-0.0552506,0.0622357,-1.01596,0.04844,0.11746,-0.16996
-0.0402639,0.0770012,-1.01942,0.04424,0.12054,-0.1666
-0.0339022,0.0537293,-1.02085,0.04578,0.11242,-0.16702
-0.0743968,0.0867284,-1.04599,0.04452,0.1183,-0.16618
-0.104982,0.132715,-1.04033,0.04284,0.1141,-0.17318
-0.0991095,0.157828,-1.0165,0.05166,0.11732,-0.17374
-0.11899,0.0938797,-1.0222,0.04998,0.11788,-0.17444
-0.0948276,0.123715,-1.00765,0.0483,0.1155,-0.17458
-0.0702372,0.156307,-0.991204,0.04956,0.11466,-0.17528
-0.050724,0.134203,-0.973959,0.05236,0.1155,-0.1813
-0.0709101,0.116496,-0.959355,0.0532,0.1162,-0.1778
-0.0652825,0.101553,-0.935406,0.05642,0.1127,-0.1799
-0.0728064,0.0883213,-0.920409,0.05516,0.11116,-0.17654
-0.0467479,0.0942709,-0.937598,0.05768,0.11508,-0.17836
-0.0529873,0.0787732,-0.950423,0.06034,0.11312,-0.17696
-0.0489501,0.0752222,-0.951291,0.06188,0.1106,-0.182
-0.0497453,0.0717309,-0.951289,0.06776,0.10752,-0.1855
-0.0364714,0.070449,-0.944723,0.07098,0.10542,-0.18424
-0.0213624,0.0725364,-0.942685,0.07252,0.10738,-0.17934
-0.029131,0.080006,-0.951344,0.07546,0.10738,-0.17906
-0.0602054,0.102596,-0.956024,0.0749,0.10696,-0.17822
-0.0827159,0.0978114,-0.957308,0.07406,0.11102,-0.18298
-0.102657,0.106686,-0.958475,0.08162,0.10934,-0.17654
-0.0788622,0.100385,-0.950043,0.08106,0.11046,-0.18102
-0.0734181,0.0965283,-0.948408,0.0861,0.11116,-0.18074
-0.0757426,0.113799,-0.953045,0.09128,0.1106,-0.1792
-0.0740298,0.122987,-0.949624,0.08974,0.10808,-0.18354
-0.0811867,0.133887,-0.944039,0.09352,0.10948,-0.1771
-0.0706043,0.154592,-0.935321,0.09646,0.10906,-0.1792
-0.0562293,0.151105,-0.933649,0.09758,0.1092,-0.18088
-0.058982,0.152146,-0.942262,0.0945,0.10738,-0.17934
-0.0785564,0.12715,-0.956948,0.10388,0.10556,-0.17878
-0.0854074,0.119186,-0.967141,0.10472,0.1092,-0.17752
-0.0919526,0.123165,-0.976415,0.1015,0.10584,-0.17234
-0.0873037,0.114469,-0.971722,0.10682,0.10598,-0.1764
