ax,ay,az
-0.0180054,-0.513062,-0.832642
-0.019165,-0.514038,-0.835754
-0.0151367,-0.512329,-0.833008
-0.0188599,-0.514099,-0.833618
-0.017395,-0.513367,-0.834778
-0.0157471,-0.511963,-0.83429
-0.0183716,-0.513184,-0.833374
-0.015625,-0.513855,-0.831482
-0.0178833,-0.513306,-0.835083
-0.0172119,-0.512939,-0.832886
-0.0164185,-0.51355,-0.836121
-0.0170288,-0.513367,-0.834045
-0.0144043,-0.514404,-0.829956
-0.015625,-0.512024,-0.833008
-0.0169067,-0.51178,-0.834106
-0.0177002,-0.514404,-0.833069
-0.0169678,-0.513306,-0.835205
-0.0145264,-0.513611,-0.83429
-0.0184326,-0.513672,-0.833984
-0.0159302,-0.513245,-0.834045
-0.015564,-0.512939,-0.834106
-0.0164795,-0.514221,-0.832947
-0.0165405,-0.514282,-0.834412
-0.0162354,-0.514771,-0.832153
-0.0164795,-0.511841,-0.832581
-0.0147095,-0.511292,-0.834351
-0.0165405,-0.513184,-0.833557
-0.0175781,-0.516235,-0.833618
-0.0183716,-0.513306,-0.834839
-0.0132446,-0.513306,-0.834656
-0.0310059,-0.514221,-0.833435
-0.0183105,-0.510254,-0.834045
-0.0155029,-0.519409,-0.833679
-0.0153198,-0.506104,-0.833923
-0.0189819,-0.517944,-0.828308
-0.0159912,-0.515869,-0.834167
-0.015625,-0.509766,-0.840332
-0.017334,-0.513428,-0.831726
-0.0155029,-0.516235,-0.827881
-0.0172729,-0.51062,-0.833435
-0.017395,-0.512695,-0.838257
-0.0174561,-0.515137,-0.833374
-0.0153198,-0.517517,-0.83374
-0.0135498,-0.513123,-0.831787
-0.0149536,-0.512573,-0.833923
-0.0162354,-0.513306,-0.835205
-0.0162964,-0.513855,-0.833679
-0.0193481,-0.515686,-0.832764
-0.0175781,-0.511353,-0.834717
-0.0136719,-0.502258,-0.833557
-0.0150757,-0.511108,-0.834167
-0.0134277,-0.513611,-0.830933
-0.017395,-0.515259,-0.832764
-0.0167847,-0.510559,-0.835144
-0.0163574,-0.515625,-0.833252
-0.0160522,-0.513428,-0.834778
-0.015564,-0.500061,-0.834412
-0.0159912,-0.512756,-0.83429
-0.0151367,-0.512817,-0.829773
-0.0148315,-0.515259,-0.83313
-0.0193481,-0.513062,-0.832336
